Sample	Type	Household	Household_code_name	Area	Room	SurfaceTouchFrequency	SurfaceDeposition	Occupancy	Individual	Window	Temperature	Humidity
STW-3X-RF	Skin	Sha Tin Wai	STW	Right Forearm	NA	NA	NA	High	STW 3X	Open	NA	NA
STW-3X-RP	Skin	Sha Tin Wai	STW	Right Palm	NA	NA	NA	High	STW 3X	Open	NA	NA
STW-3Y-FOH	Skin	Sha Tin Wai	STW	Forehead	NA	NA	NA	High	STW 3Y	Open	NA	NA
STW-3Y-LF	Skin	Sha Tin Wai	STW	Left Forearm	NA	NA	NA	High	STW 3Y	Open	NA	NA
STW-3Y-LP	Skin	Sha Tin Wai	STW	Left Palm	NA	NA	NA	High	STW 3Y	Open	NA	NA
STW-3Y-RF	Skin	Sha Tin Wai	STW	Right Forearm	NA	NA	NA	High	STW 3Y	Open	NA	NA
STW-3Y-RP	Skin	Sha Tin Wai	STW	Right Palm	NA	NA	NA	High	STW 3Y	Open	NA	NA
STW1BRWIN	Air	Sha Tin Wai	STW	Bedroom	Bedroom	NA	NA	High	NA	Open	17.45	44.5
STW1KCWIN	Air	Sha Tin Wai	STW	Kitchen	Kitchen	NA	NA	High	NA	Open	17.45	44.5
STW1LRWIN	Air	Sha Tin Wai	STW	Living Room	Living Room	NA	NA	High	NA	Open	17.45	44.5
STW1TLWIN	Air	Sha Tin Wai	STW	Toilet	Bathroom	NA	NA	High	NA	Open	17.45	44.5
STW2BHBWIN	Surface	Sha Tin Wai	STW	Bed Headboard	Bedroom	High	Low	High	NA	Open	NA	NA
STW2BLKWIN	Surface	Sha Tin Wai	STW	Blanket	Bedroom	High	High	High	NA	Open	NA	NA
STW2FDSWIN	Surface	Sha Tin Wai	STW	Fridge Door Seal	Kitchen	Low	Low	High	NA	Open	NA	NA
STW2KVTWIN	Surface	Sha Tin Wai	STW	Kitchen Ventilator	Kitchen	Low	High	High	NA	Open	NA	NA
STW2RMCWIN	Surface	Sha Tin Wai	STW	Remote Control	Living Room	High	Low	High	NA	Open	NA	NA
STW2SCRWIN	Surface	Sha Tin Wai	STW	TV Screen	Living Room	Low	High	High	NA	Open	NA	NA
STW2SWCWIN	Surface	Sha Tin Wai	STW	Shower Curtain	Bathroom	High	Low	High	NA	Open	NA	NA
STW2TFBWIN	Surface	Sha Tin Wai	STW	Toilet Flush Button	Bathroom	High	Low	High	NA	Open	NA	NA
SW-3Y-FOH	Skin	Sai Wan	SW	Forehead	NA	NA	NA	Low	SW 3Y	Open	NA	NA
